,q_id,query
287,288,Мои кешбеки
1277,1278,"Здравствуйте! Подскажите, как сменить пароль при входе  в банкомат?"
6911,6912,Получение зп карты
4289,4290,"Здравствуйте, по карте 0000 назначен платеж до 00 сентября на сумму 0000₽. Данная сумма полностью пойдёт на погашение основного долга?"
1128,1129,Я не могу у становить сточки 
626,627,Не обновляется история операций
1706,1707,Подключить кэшбэк
917,918,Установлен новый пин я этого не делала
4625,4626,"Здравствуйте, у меня вопрос по Инвесткопилке.совсем не понятно принцип работы. Как происходит накопление. Где накопление от дохода?"
2046,2047,по возможности хочу оставить тот же номер карты и данные
5431,5432,я вошла сейчас с Мака- та же истрия: 'установлен  лимит' 
2086,2087,"Здравствуйте, если я запишусь в банк,меня должны принять по времени?"
1826,1827,Можно ли платить альфа картой в онлайн приложении золотого яблока?
2632,2633,Нет доступа к старому номеру на который был переведён платеж
6281,6282,подскажите где найти реквизиты от карты
4549,4550,Так это и есть ссылка на мой отзыв
2074,2075,У меня уже имеется одобрение
1052,1053,Будет ли суммироваться 0% по категории по барабану красота? Если товар в магазине по акции - будет ли считаться 00%?
26,27,И где кешбек обещанный? 
744,745,Можно ли как то узнать что покупали по карте?
4328,4329,Изменить шаблон
1029,1030,В готовых ничего нет
3679,3680,По карте пин заблокирован
5282,5283,"Я оплачиваю ЖКХ и мне не начисляют кэшбэк ,выбрала категорию на сентябрь Жкх"
4476,4477,Здравствуйте как мне узнать номер расчетного счета карты ?
2197,2198,Здравствуйте. Я сегодня оформила кредит. Смогу ли я разблокировать карту если кредит поступит на заблокированную карту?
6088,6089,Автоплатеж по расписанию 
6170,6171,"00 августа я заправился через приложение банка на АЗС на пром на 0000 рублей, а кешбэк получил 00 рублей"
4683,4684,Эта покупка участвует в выгоде хобби?
5806,5807,у меня сложная жизненная ситуация 
2055,2056,Сколько у меня открыто кредитных карт
5162,5163,Что такое альфа пэй ? 
3594,3595,Как установить лимит на определённую категорию товаров?
5342,5343,Средства на кредитной карте зачислят после получения? 
5403,5404,Здравствуйте можно оформить union pay?
1265,1266,Как отключить авто списания с карты
2125,2126,Отключите пуш
2670,2671,При просмотре реквизитов
5733,5734,Что входит в в льготный период по кредитной карте
4025,4026,Выплаты нет
3811,3812,"Порекомендовала альфа стикер другу, но его нет в ожидании"
101,102,Мои счета
2922,2923,Должна была получить первый раз
4563,4564,Почему нет счётчиков показаний
2939,2940,XXXXXX
3859,3860,Кэшбжк
1192,1193,Держатель карты
3722,3723,Как узнать сколько мне осталось выполнить
234,235,Здравствуйте  Хочу погасить рассрочку на 0000 р  Не могу найти номер счёта
4318,4319,Почему не выполнен автоплатеж
165,166,"Адрес: Кызыл, ул Ленина, д. 00 "
2486,2487,у меня нет договора 
2067,2068,"При закрытии кредите на карте были деньги ""плюсом"". Верните деньги на дебетовую карту."
166,167,Маркетплейсы кэшбэк
4993,4994,Добрый день! Подскажите я могу придти подать заявление в чате выше в субботу? 
5663,5664,"Здравствуйте, в течении какого времени делается кредитная карта? "
5472,5473,Как менять пин-код
333,334,Где посмотреть мои счета?
1294,1295,готов
2519,2520,"Здравствуйте, хотел заказать стикер, а мне пишет что выберите другой населенный пункт хотя карты доставляют и отделение есть"
5915,5916,какой лимит мне одобрили на кредитной карте
2408,2409,Последние операции
334,335,"Здравствуйте, что у меня подключен к кредиту? "
532,533,Здравствуйте мне надо узнать номер операции
6570,6571,Поменять пуш на смс
2358,2359,Нужно найти телефона который привязан Ваш банк
1044,1045,Когда придет выиграшб в игре пинятта
3993,3994,"Добрый вечер! У меня задержка заработной платы на 0-0 дней. К сожалению не могу внести платеж вовремя, но как только получу, я сразу же внесу пропущенную сумму. Прошу прощения!"
1358,1359,Где отключить автопополнение брокерского счета?
6435,6436,Через какое время присходит вывод денег с инвест копилки на счет?
2657,2658,Здравствуйте. Я могу перенести номер на альфа мобайл? Где и как?
6821,6822,"У меня в приложении не отображается история, брокерский счет, карта"
153,154,По определённой операции
2697,2698,Историю операций по кэшбеку
6346,6347,Пришли мне пуш уведомление для оценки 
749,750,Наименование отделения кредитной организации 
1452,1453,Вы уверены что мне отдадут?
5621,5622,Сколько дней выпускается стикер?
535,536,Кредитные счета
6573,6574,не загружается история сообщений(
240,241,как узнать бик?
3339,3340,Добрый день.я хотел бы разобраться в 0 операциях
2085,2086,Офис в моем городе 
5278,5279,начисление кэшбека по категории коммунальные платежи . Платеж от 00.00.0000 на сумму 0000
1906,1907,"Мне нужно реквизиты моего счета для работодателя, чтобы получать зарплату"
6786,6787,как узнать код кредитной карты
3468,3469,"Добрый день, куда придут кредитные деньги?"
3446,3447,"Как оплачивать коммунальные услуги, чтобы получить повышенный кэшбэк?"
4685,4686,"""Аксессуары 0%"" отсутствуют"
693,694,Не приходит SMS
1584,1585,Расследование платежа
3299,3300,Начисляется ли кэшбэк по операциям через Альфа Pay?
4966,4967,Когда придет бонус 0000 рублей
6754,6755,сумме трат за период
4498,4499,"Здравствуйте, как узнать счёт карты"
5924,5925,Почему висит еще просрочка 
2869,2870,Программа пишет: Появится после получения пластиковой карты
3764,3765,Здравствуйте а детская карта готово. Можно узнать
5473,5474,"Здравствуйте,забыла пинкод,что делать в этой ситуации?"
5317,5318,"Здравствуйте, мне одобрили кредит. Когда придут деньги"
4323,4324,Только шаблоном? Просто объяснить нельзя?
6003,6004,Посмотреть график платежей для беспроцентного периода
1877,1878,"Здравствуйте, расчетный счёт какого числа"
6067,6068,"можете пожалуйста подсказать, я сейчас оплатила обязательный платеж 0000, в уплату основного долга мне ничего не поступило, это все забрали в качестве процента??"
6474,6475,Где находиться раздел выгода
6225,6226,Можно сменить номер
1995,1996,О у меня отключены уведомления почему смс стали приходить?
3486,3487,Когда поступят деньги по кредиту
3041,3042,"Я только, что перевела пенсию в ваш банк"
6478,6479,"Здравствуйте! В разделе ""выгода"" указан кэшбэк 00% за покупку билетов в альфатрэвел.  00 августа я приобрела жд билеты.  Планируемый кэшбэк отражается в  размере около 0%. Почему не 00%?"
4236,4237,"Так процентная ставка не то, что не уменьшилась, она увеличилась! Сейчас мне что делать, чтобы платить кредит по тем процентам, по которым я брала его изначально"
6605,6606,Добрый день скажите пожалуйста где сейчас лежат мои деньги если не на кредитном счёте. Мне пришло три уведомления о успешном переводе но такой карты с таким номером я в списке своих карт не могу найти. 
6743,6744,Последствия неоплаты в срок приводит только у величению платежа за счет штрафов?
4390,4391,Есть ли у меня право прохода в бизнес залы аэропорта?
2143,2144,Последнее уведомление
2630,2631,Могу ли прислать номер дела?
3928,3929,"Могу Q коду расчитываться в за путевки в турагентстве, без комиссии и будет какой беспроцентный период"
6623,6624,Почему при переводе по моему номеру деньги попадают на карту ребенка ?
58,59,Не могу найти это пополнение
6944,6945,Здравствуйте. А почему не начислен кэшбек за оплату коммунальных услуг? Оплата была сегодня.
3254,3255,Как отключить оплату телефоном
5469,5470,"Хочу открыть вклад, но карта не активна после смены пин кода. Когда будет работать?"
5263,5264,"Здравствуйте, у меня было активировано предложение по частичной оплате по крелитке"
15,16,"Можно узнать, я вчера пополнила сумму на 0000 за кредит? Куда списался платеж ? За кредит или налог ?Что теперь нужно сделать ?"
2368,2369,Добрый день . Есть возможность сделать международгую карту которая будет работать за границей? Например Альфа Казахстан или еще что то?...
5368,5369,История рекондаций
127,128,"Пишет что надо обновить номер телефона, но он у меня остался прежним"
2512,2513,"Здравствуйте, была одобрена кредитная карта на 00 тысяч рублей, почему начислили только 00"
6113,6114,Здравствуйте мне нужно убрать авто платёж от TutorPlace
418,419,Нужен лицевой счёт для получения зп
5682,5683,Начисление кэшбека
1858,1859,Смс от вас?
6769,6770,"Здравствуйте!нажимаю на заправки ,а выходить просто белый фон"
1309,1310,"Уточните, я заказала карту?"
5790,5791,Я же закинул сумму на погашение долга!
1040,1041,Сейчас я готов внести сумму для погашения графика
2679,2680,"Произвела оплату, но не вижу ее в истории"
2542,2543,"Здравствуйте, у меня арестовали денежные средства, но они так и не ушли на погашение долга"
4888,4889,Прошу закрепить за мной менеджера Барадиева Цыцыгма с ней работаем продолжительное время
4138,4139,"Где неисполнение обязательств по кредитам, если вношу все вовремя"
5217,5218,"Здравствуйте,  никаких условий нет, чтобы уведомления были бесплатными ?"
6365,6366,"Здравствуйте,почему дебетовая карта не отображается 0000"
6624,6625,Почему не поступил перевод на кредитный счет ?
1783,1784,Я обслуживаюсь в ДО МОЛОДЕЖНАЯ
6472,6473,Витрина
6111,6112,Я не создавала шаблоны
1009,1010,"Здравствуйте! Чтобы пользоваться кредтной картой (виртуальной), необходимо обязательно забрать ее в офисе?"
4770,4771,"Добрый день, будут ли приходить родителям сообщение от банка?"
1621,1622,"Добрый вечер, подскажите пожалуйста где можно найти расчетный счет заявителя?"
4570,4571,Почему нельзя изменить сумму счета по дому?
3076,3077,"Здравствуйте ! Я не подключила услугу Альфа чек, почему с меня спрсали деньги ? И даже не уведомили об этой услуге?"
643,644,"Здравствуйте! Почему на номере стоит ограничение , если этот номер у меня актуальный ?"
6348,6349,Как поставить оценку?
3073,3074,"Скажите а на каком основании вы у меня списываете деньги за услугу альфа чек? Я её не подключала, ничего не подписывала, чтобы её подключить, почему вы списываете?"
2510,2511,Есть ли там деньги 
533,534,Баланс не совпадает
4805,4806,А как тогда уведомление пришло если он не может поступить?
6445,6446,"Она уже подключена, как зайти в раздел?"
171,172,Номер карты меняется ?
248,249,Как телефонные номера поменять местами?
1291,1292,"Да, произвела по реквизитам, как за услугу. а как надо было оплатить, чтобы он начислился?"
0,1,Номер счета
2998,2999,Сколько у меня денег всего
5435,5436,Установите мне лимит на 000₽ меньше 
4621,4622,как вывести деньги с инвест копилки
2146,2147,БИК этого банка
4007,4008,Мне емеешать не надо я смогу кредит заплатить днем позже только
6816,6817,Не отображается счет
5755,5756,"Добрый день! Подскажите, пожалуйста, можно ли кредитной картой оплатить налоги и распространяется ли на это льготный период?"
5869,5870,"Прошу закрыть кредитную карту, и вернуть остаток на дебетовую карту "
645,646,Где взять расчетный счет
5774,5775,По персональному предложению идет погашение или общее?
6805,6806,Где найти р/с и к/с
4372,4373,"Добрый день, подскажите, каким образом суммируется кэшбэк из категории заправки 0% и в сервисах до 0%"
470,471,"Здравствуйте, а подскажите, пожалуйста, как включить функцию, чтобы отчислялась на накопительный счёт какая-то сумма?"
6720,6721,У меня выбранна категория комумунальные услуги
6581,6582,Какой скриншот я должен прислать? Ко мне не приходят смски от вас. Что тут скринить?
481,482,Вы можете мне сбп включить!?!?
4432,4433,Может быть два номера привязано к карте?
1723,1724,Добрый день. О каком кэшбеке речь?
1904,1905,Номер телефона для детской карты не подходит
2390,2391,Не отображается операция
2527,2528,Какие у меня продукты банка
1203,1204,Здравствуйте. Как изменить пин код? Я не помню его
2566,2567,"Добрый день,подавал на рефеевесирование подскажите есть ли ответ "
3918,3919,Спасибо! Тогда оставим ещё кредитку) А платежи по ЖКХ у вас с комиссией?
1380,1381,"Добрый день, взял у вас кредит на погашение другого, в договоре указано о необходимости предоставления справки полного погашения предыдущего для снижения процентной ставки"
3411,3412,Я зарплатный счёт активировал. Объедините пожалуйста все мои карты к одному зарплатному счёту!
1547,1548,Номер счëта для пополнения по альфа займу
2871,2872,Есть обязательные действия с картой после получения
5884,5885,Как узнать на какую сумму одобрили кредитную карту?
4465,4466,у меня сменился номер  можете его поменять в приложении ?
887,888,"Начисляется ли кэшбэк при оплате телефоном через ,мир пай, на транспорте?"
495,496,Обязательно ли приезжать в офис банка?
4758,4759,Почему нет пуш уведомления?
5822,5823,Сначала хотела бы вернуть выплаты 
