q_id,query
1,- Как мне найти номер счета?
2,Где можно найти БИК и счет?
3,- Почему нет ответа на код подтверждения?
4,- Почему у вас нет уведомлений о рассрочке?
5,- Когда мне разрешено использовать кредитную карту?
6,- Почему история платежей недоступна для просмотра?
7,"Здравствуйте, в городе Нахабино есть отделение банка на улице Институтская 00? Можно ли закрыть бизнес-счет в этом месте?"
8,Узнать информацию о зарплатном счете
9,- Как мне узнать дату начала использования кредитной карты?
10,- Почему нет подтверждений на номер телефона?
11,- Почему я не могу увидеть что-либо на экране?
12,- Почему мне не удается войти на платформу Alpha Online через номер телефона?
13,"Я оформила кредитную карту и получила одобрение на ее действие, но мне не приходит смс для получения карты в банке."
14,- Как я могу найти информацию о расчетном счете?
15,- Какие документы мне нужно предъявить для получения моей карты?
16,"- ""Могу ли я узнать, когда было выполнено пополнение на 0000 на кредит?"""
17,"- Чему я могу помочь, чтобы вы могли найти свой БИК и расчетный счет?"
18,- Какие мое текущие счётчики доступны?
19,- Почему мне не видно пути для перевода средств?
20,"Здравствуйте, отправил средства на счет Альфа Банка для погашения рассрочки (00000, немного больше, чтобы быть на страже). Пожалуйста, подскажите, пожалуйста, было ли успешное пополнение счета, так как в приложении нет информации?"
21,Пример 1:
22,"- Что нужно для того, чтобы просмотреть переводы в истории операций?"
23,Куда обращаться для проверки информации на кредитный счет?
24,- Какой вид скидок предоставляют сайты для получения кэшбэков?
25,1. Как я могу связаться с менеджером для рассмотрения моего заявления?
26,- Как мне найти мой БИК?
27,- Как найти информацию о кешбэке?
28,- Почему нет возможности найти историю списаний и пополнений карты для покупки в магазине Zola?
29,"Здравствуйте, может ли я получить детали о последних 0-запросах, которые были выполнены со мной?"
30,- Почему нет сообщений о подтверждении получения карты?
31,"Здравствуйте. Возможно ли мне приватировать кредит, так что средства попали сразу на карту в личном кабинете?"
32,- Почему я не получаю подтверждение для этой операции?
33,- Почему нет прихода электронной почты?
34,- Как мне получить номер счета для получения зарплаты?
35,"Здравствуйте, какие данные нужны для получения расчетного счета?"
36,"- Где находится информация о том, что партнер одобрил заявку?"
37,- Как происходит расчетный счет?
38,- Как проверить существование расчетного счета?
39,- Почему нет новых уведомлений о платежах на карте?
40,Вот несколько вариантов перефразированного вопроса:
41,- Что такое кэш?
42,Как узнать номер БИК банка?
